round,TP,TN,FP,FN,Accuracy,Sensitivity,Specificity,F1,AUC
858,9,47,2,9,0.8358,0.5,0.9592,0.6207,0.7937
859,17,47,0,3,0.9552,0.85,1.0,0.9189,0.9702
860,15,45,0,7,0.8955,0.6818,1.0,0.8108,0.9283
861,14,46,0,7,0.8955,0.6667,1.0,0.8,0.8892
862,17,38,1,11,0.8209,0.6071,0.9744,0.7391,0.8791
863,11,46,1,9,0.8507,0.55,0.9787,0.6875,0.8904
864,15,43,1,8,0.8657,0.6522,0.9773,0.7692,0.9101
865,17,49,0,1,0.9851,0.9444,1.0,0.9714,0.983
866,13,43,0,11,0.8358,0.5417,1.0,0.7027,0.7481
867,22,41,1,3,0.9403,0.88,0.9762,0.9167,0.9619
868,11,47,0,9,0.8657,0.55,1.0,0.7097,0.9404
869,21,36,3,7,0.8507,0.75,0.9231,0.8077,0.9093
870,14,48,0,5,0.9254,0.7368,1.0,0.8485,0.8377
871,15,43,2,7,0.8657,0.6818,0.9556,0.7692,0.9263
872,15,41,0,11,0.8358,0.5769,1.0,0.7317,0.8724
873,16,40,1,10,0.8358,0.6154,0.9756,0.7442,0.9184
874,16,48,0,3,0.9552,0.8421,1.0,0.9143,0.9825
875,18,38,3,8,0.8358,0.6923,0.9268,0.766,0.9484
876,12,44,0,11,0.8358,0.5217,1.0,0.6857,0.8577
877,18,41,0,8,0.8806,0.6923,1.0,0.8182,0.969
878,14,42,1,10,0.8358,0.5833,0.9767,0.7179,0.8459
879,10,45,3,9,0.8209,0.5263,0.9375,0.625,0.8673
880,13,48,0,6,0.9104,0.6842,1.0,0.8125,0.9189
881,12,39,3,13,0.7612,0.48,0.9286,0.6,0.7533
882,12,46,3,6,0.8657,0.6667,0.9388,0.7273,0.8741
883,12,46,0,9,0.8657,0.5714,1.0,0.7273,0.8551
884,17,41,1,8,0.8657,0.68,0.9762,0.7907,0.9086
885,15,48,0,4,0.9403,0.7895,1.0,0.8824,0.9507
886,14,45,0,8,0.8806,0.6364,1.0,0.7778,0.8707
887,15,46,0,6,0.9104,0.7143,1.0,0.8333,0.9172
888,17,38,1,11,0.8209,0.6071,0.9744,0.7391,0.8764
889,20,39,0,8,0.8806,0.7143,1.0,0.8333,0.9158
890,6,47,3,11,0.791,0.3529,0.94,0.4615,0.8471
891,15,46,1,5,0.9104,0.75,0.9787,0.8333,0.9372
892,17,43,0,7,0.8955,0.7083,1.0,0.8293,0.9225
893,13,44,0,10,0.8507,0.5652,1.0,0.7222,0.9427
894,19,33,2,13,0.7761,0.5938,0.9429,0.717,0.8482
895,14,47,1,5,0.9104,0.7368,0.9792,0.8235,0.9276
896,17,42,1,7,0.8806,0.7083,0.9767,0.8095,0.939
897,13,45,1,8,0.8657,0.619,0.9783,0.7429,0.9358
898,14,44,1,8,0.8657,0.6364,0.9778,0.7568,0.8828
899,14,45,0,8,0.8806,0.6364,1.0,0.7778,0.9586
900,20,36,0,11,0.8358,0.6452,1.0,0.7843,0.914
